obj_id,MJD,PLATE,FIBERID,ra,dec,index1
1237652899161374806,51909,462,128,55.158968,-7.6697151,391
1237665567693340925,null,null,null,null,null,392
1237661069248823311,null,null,null,null,null,393
1237649961383363030,null,null,null,null,null,395
1237667293726244910,null,null,null,null,null,399
1237652900236296300,null,null,null,null,null,400
1237665567693275519,null,null,null,null,null,403
1237666463185174845,null,null,null,null,null,407
1237667293189505211,53699,2288,174,139.25795,20.119994,408
1237667430093291751,53699,2288,149,139.54907,19.951207,410
1237667430630031407,53699,2288,223,138.99246,20.268381,411
1237667293189046421,null,null,null,null,null,412
1237667430093226087,null,null,null,null,null,413
1237667293189177549,null,null,null,null,null,416
1237667293189112062,null,null,null,null,null,419
1237667430630228010,53699,2288,157,139.47884,20.268266,420
1237667206208750023,null,null,null,null,null,426
1237666463185175056,null,null,null,null,null,431
1237655747783033491,null,null,null,null,null,440
1237656564366966900,null,null,null,null,null,444
1237658302205263904,null,null,null,null,null,447
1237658302205526175,null,null,null,null,null,448
1237658302205132944,null,null,null,null,null,449
1237672004234052894,null,null,null,null,null,456
1237679504855990511,null,null,null,null,null,464
1237680246814015775,null,null,null,null,null,465
1237679504318464191,null,null,null,null,null,469
1237663142636552900,null,null,null,null,null,470
1237679504318595223,null,null,null,null,null,471
1237663273634956087,null,null,null,null,null,477
1237663273098150414,null,null,null,null,null,481
1237668756169818381,null,null,null,null,null,483
1237663273634891271,null,null,null,null,null,484
1237671566136508481,null,null,null,null,null,492
1237671566136508667,null,null,null,null,null,493
1237671566136115579,null,null,null,null,null,495
1237653587407667287,52201,544,605,121.0214,39.743372,496
1237654390029811860,null,null,null,null,null,497
1237671071150637355,null,null,null,null,null,502
1237654654173184126,null,null,null,null,null,504
1237653587944407348,null,null,null,null,null,509
1237653587407536211,52202,545,218,120.95205,39.520846,515
1237649768106492528,null,null,null,null,null,522
1237672003157429828,null,null,null,null,null,535
1237668709985747047,null,null,null,null,null,540
1237667246488027163,null,null,null,null,null,544
1237664132631101458,null,null,null,null,null,553
1237664131558080520,null,null,null,null,null,554
1237655126079832147,null,null,null,null,null,561
1237674372359979194,null,null,null,null,null,569
1237665549439140054,53918,2198,156,243.9167,15.05517,572
1237665530650558733,null,null,null,null,null,573
1237678879937069144,null,null,null,null,null,575
1237680498600313372,null,null,null,null,null,592
1237680502893642475,null,null,null,null,null,594
1237671764787986649,52024,522,365,190.89111,3.293656,597
1237671266035368010,null,null,null,null,null,598
1237651273494495309,51884,438,391,120.50225,46.930584,612
1237651273494233417,null,null,null,null,null,613
1237651273494495440,null,null,null,null,null,614
1237680502894297283,null,null,null,null,null,616
1237656564355694697,null,null,null,null,null,617
1237655747771367629,null,null,null,null,null,619
1237662663220789620,null,null,null,null,null,622
1237655747771564072,null,null,null,null,null,627
1237671939812361248,null,null,null,null,null,629
1237671969328006244,null,null,null,null,null,630
1237664670053236851,53386,1970,335,175.92849,40.886802,631
1237671969328006311,null,null,null,null,null,632
1237671969328137588,null,null,null,null,null,638
1237671691228086875,null,null,null,null,null,645
1237671691227824262,54585,2968,67,244.26699,18.219968,647
1237671260656435772,54081,2570,124,121.49512,7.4132743,648
1237671691765022732,54586,2969,516,245.01682,18.153515,650
1237665536543686716,54585,2968,27,244.66294,18.130055,651
1237661818169655386,null,null,null,null,null,652
1237671691765219564,54586,2969,599,245.44377,17.933413,655
1237671692302090488,54586,2969,587,245.67444,18.368339,658
1237668734684955064,null,null,null,null,null,663
1237664289929953428,null,null,null,null,null,667
1237671260120154415,53080,1756,537,122.94042,7.5210218,669
1237661069772849317,null,null,null,null,null,671
1237678858993074201,null,null,null,null,null,689
1237678876173861056,null,null,null,null,null,691
1237679322324795453,null,null,null,null,null,702
1237679323399782428,null,null,null,null,null,703
1237678876174582057,null,null,null,null,null,713
1237678876174188813,null,null,null,null,null,715
1237678876174581876,null,null,null,null,null,716
1237678858456334460,null,null,null,null,null,718
1237673739399004391,null,null,null,null,null,719
1237655493834702866,null,null,null,null,null,725
1237655498130260087,52721,914,23,209.77937,-2.7020677,726
1237655498667393133,null,null,null,null,null,729
1237674650465534065,null,null,null,null,null,737
1237667733960720465,53770,2375,17,157.68566,19.232763,738
1237667430092374091,53700,2285,36,137.47388,19.218459,745
1237667210510074175,null,null,null,null,null,746
1237667253459157066,53700,2285,447,135.82728,20.212719,747
1237661070863761578,null,null,null,null,null,768
1237661070327218427,null,null,null,null,null,769
1237658302742528171,null,null,null,null,null,771
1237670960544481390,null,null,null,null,null,775
1237653652922695756,null,null,null,null,null,776
1237678776850186777,null,null,null,null,null,777
1237661968501244068,null,null,null,null,null,780
1237679167161958418,51900,427,564,31.364471,14.598286,781
1237678536340210122,null,null,null,null,null,782
1237655107289219127,52235,763,144,131.94505,45.16843,785
1237679996618735849,null,null,null,null,null,786
1237680247339155857,null,null,null,null,null,788
1237679997155803350,null,null,null,null,null,790
1237670444611404218,null,null,null,null,null,794
1237678876178186367,null,null,null,null,null,795
1237666184559657268,null,null,null,null,null,796
1237666213551867940,null,null,null,null,null,801
1237667111720255577,null,null,null,null,null,803
1237667212121210957,null,null,null,null,null,804
1237667212658016411,53705,2287,211,137.44046,22.238822,805
1237667212657360945,53708,2284,182,135.84044,21.664419,808
1237667255070294019,null,null,null,null,null,812
1237667212121079844,null,null,null,null,null,814
1237655557720441252,null,null,null,null,null,816
1237667111720321196,null,null,null,null,null,817
1237653587944669378,null,null,null,null,null,836
1237654391640293595,null,null,null,null,null,837
1237673703969325095,null,null,null,null,null,838
1237654871598694699,null,null,null,null,null,847
1237678892817055932,null,null,null,null,null,850
1237665441000128633,null,null,null,null,null,856
1237660343393189978,null,null,null,null,null,861
1237660959184519222,52672,1208,68,129.01213,30.530483,864
1237665532789981365,null,null,null,null,null,866
1237665531724431557,53918,2198,417,243.00136,15.301283,876
1237648704060719283,null,null,null,null,null,886
1237655498140549251,52411,925,139,233.38735,-2.1155147,891
1237669680116203643,null,null,null,null,null,892
1237669702120374415,null,null,null,null,null,894
1237669702657573014,null,null,null,null,null,897
1237657595687534730,null,null,null,null,null,905
1237657596224537102,null,null,null,null,null,906
1237657594614055288,52589,893,603,125.90482,38.63792,910
1237657595150729272,52589,893,453,125.00545,38.576395,913
1237651754553180182,null,null,null,null,null,915
1237651755090640928,null,null,null,null,null,919
1237652987183432378,null,null,null,null,null,937
1237659149924565078,52703,1165,52,229.30435,51.194894,942
1237659149924499658,null,null,null,null,null,944
1237657630588469494,null,null,null,null,null,959
1237671940354015441,null,null,null,null,null,960
1237678881024901207,null,null,null,null,null,967
1237679435059888211,null,null,null,null,null,970
1237649743409513184,null,null,null,null,null,983
1237652936181481499,52146,639,442,319.42604,-6.1361881,995
1237646645685256342,null,null,null,null,null,998
1237666299489878153,null,null,null,null,null,999
1237666463191859269,null,null,null,null,null,1003
1237673429617935493,null,null,null,null,null,1005
1237666462654857553,null,null,null,null,null,1007
1237670459125204999,null,null,null,null,null,1012
1237670962171938659,null,null,null,null,null,1013
1237673703962706082,null,null,null,null,null,1020
1237678860094079019,null,null,null,null,null,1021
1237668271367323815,null,null,null,null,null,1022
1237668270829862969,54232,2746,363,214.51193,16.563877,1024
