obj_id,MJD,PLATE,FIBERID,index1
1237662193455661144,null,null,null,61781
1237664296366964856,null,null,null,61782
1237668297666592898,null,null,null,61783
1237667914346332218,null,null,null,61784
1237668297666723921,null,null,null,61785
1237665329324359697,53854,2116,143,61786
1237665429168783678,null,null,null,61787
1237679504329474316,null,null,null,61788
1237679461902188770,null,null,null,61791
1237662501081383157,null,null,null,61796
1237662302445502734,53436,1683,365,61797
1237669698910748806,56209,5057,38,61804
1237669763334864946,56209,5057,72,61805
1237663239272071236,57041,7822,636,61814
1237663784215773201,55455,4240,1000,61815
1237662619725136033,null,null,null,61836
1237655370356293644,52296,560,507,61838
1237659897247301893,null,null,null,61852
1237656563289227367,null,null,null,61853
1237656562752487770,null,null,null,61854
1237663916268191966,null,null,null,61863
1237663786885251136,null,null,null,61864
1237663915731189993,null,null,null,61866
1237651538188304425,52055,621,253,61876
1237654948377264278,null,null,null,61877
1237679433450979384,null,null,null,61881
1237679433450979374,null,null,null,61882
1237679433450651694,null,null,null,61883
1237658918532415650,52707,1039,420,61887
1237668657916021575,null,null,null,61888
1237667254012215426,null,null,null,61894
1237667254012215351,null,null,null,61895
1237667254549610530,53799,2222,553,61896
1237678894433042672,null,null,null,61922
1237657118404837502,null,null,null,61933
1237659895644423197,null,null,null,61939
1237656528927391833,null,null,null,61940
1237655129846382739,null,null,null,61941
1237655503500476457,52441,978,113,61942
1237655503500214590,52441,978,179,61944
1237658422484402290,53112,1617,94,61958
1237661970641584176,null,null,null,61959
1237661970641780801,null,null,null,61960
1237658423558537284,53112,1617,70,61961
1237658422483746847,55929,4850,394,61962
1237661386541367508,56092,6052,182,61983
1237656971300634696,55182,3587,154,61984
1237663234982675213,null,null,null,62022
1237658800967778308,null,null,null,62034
1237658800967909416,null,null,null,62035
1237658802579046502,56415,6758,914,62036
1237662663206502633,null,null,null,62037
1237662224614817856,null,null,null,62038
1237662963855655841,null,null,null,62039
1237665583797764336,null,null,null,62041
1237665583260827726,null,null,null,62042
1237680303173861460,null,null,null,62044
1237653618008457467,null,null,null,62054
1237653614265237592,52286,774,350,62056
1237655347276611593,52353,792,124,62058
1237671939260023002,56425,6795,574,62059
1237655347276677144,56421,6712,728,62060
1237680306932219963,null,null,null,62069
1237680303173140821,null,null,null,62070
1237680307468501513,null,null,null,62072
1237678881027522647,null,null,null,62074
1237679434524983490,55541,4372,326,62076
1237679434525179914,null,null,null,62077
1237661464382013583,null,null,null,62082
1237679461901336683,null,null,null,62098
1237679504328426005,null,null,null,62099
1237679461364596768,null,null,null,62100
1237679503791620274,null,null,null,62101
1237661852013297681,57520,8380,270,62103
1237661851476623382,54977,3380,374,62104
1237672455733774883,null,null,null,62112
1237663229622485340,52970,1662,162,62149
1237651754532798703,55645,4743,657,62154
1237653665794359358,51989,480,566,62155
1237670961087250626,null,null,null,62166
1237655349432484058,null,null,null,62170
1237655501882982550,null,null,null,62171
1237651538724978839,56429,6709,74,62173
1237651224101126170,null,null,null,62179
null,null,null,null,62194
1237670960013312227,null,null,null,62195
1237670959476900005,null,null,null,62196
1237666244679172704,null,null,null,62197
1237666244678713863,null,null,null,62198
null,null,null,null,62204
null,null,null,null,62209
null,null,null,null,62211
1237663164645245269,null,null,null,62212
null,null,null,null,62214
null,null,null,null,62224
1237662475311710826,53177,1689,202,62225
null,null,null,null,62228
1237679504317874226,null,null,null,62229
1237679504317218981,null,null,null,62230
null,null,null,null,62243
null,null,null,null,62245
null,null,null,null,62256
1237679323400503412,null,null,null,62257
null,null,null,null,62264
null,null,null,null,62271
null,null,null,null,62279
1237666184568176978,null,null,null,62280
1237666184031240504,null,null,null,62281
null,null,null,null,62285
1237661849869353012,null,null,null,62286
null,null,null,null,62294
1237661971715522704,null,null,null,62295
null,null,null,null,62302
1237655502959738981,55823,5198,844,62303
1237666275285663900,null,null,null,62304
1237673284123492514,null,null,null,62305
1237666275285729373,null,null,null,62306
null,null,null,null,62312
null,null,null,null,62318
null,null,null,null,62320
