source_id,random_index
3787620642027892992,854113821
3787239047069268096,133255033
3787385900590991232,104359119
2946831693772451968,1678067650
6805227761838464384,1413762040
6805190137926179072,215789703
6805185469296326144,1639870483
6805206394378638080,1308724046
2946821763807602560,1465973727
6805215426692687488,1147584105
6805080358561298944,1565484102
2835587367879218688,1211067367
6005591128631186432,887393774
552718241811190272,382456538
552606916258551296,1604690966
552607362935193856,1051025189
886131605197045760,554538042
1879680278044469376,24886767
552683401036262528,1549333590
552611181163910016,15001123
886044949937203200,924817064
4375274319625502080,1317194963
2013195379459818240,1385000503
3860625435268868864,61491511
3860751256335185408,537980836
3860744010725801856,999261820
3860382404543853952,411467847
418591601479101824,151296514
418633348561577856,1327840330
4247891435079063680,176506876
4247923316616255360,238861936
418629470213009792,216434535
4247923247896807040,855011250
418633760878416896,1633089727
1760834852175520512,604964838
1760704182091481088,185335043
1760752079566321536,897270630
252658602311901184,284544454
5914484323845410944,347217799
1760821039560411776,542790964
4389967815059302528,382554257
6267602417363199232,249469540
252684917575591424,744454859
4390012998115917952,785731421
5837865650632121216,752880518
1760816985111417856,595337545
4389987438768888960,1309494489
6267692813535097088,929582846
6267564209334081024,1458051973
2835805586577740288,1140426154
2835758479376779776,773788772
6267495180619501312,102892743
3277482882085624192,1252268048
3277493323149222272,680922629
580763278742030720,383859073
3277373407662192384,1038304261
3277341526122556160,1618296098
6267654571146443648,1019001593
4968705247923976448,241529237
463073031573950592,1588399667
4968426693525106688,1335941628
462970158519685760,22847423
6267617084671408256,1114717825
3277794658054800896,211463657
4968502108854445568,69600894
4968770565784701568,295445708
3277690483624700416,1284525818
580568119723444480,1291603036
6203393476623431296,1619239831
5914463231271008000,1182495136
463042696221650816,909004860
462996134479381632,21159330
4180213569520266496,254155728
2080547132450251136,1543174458
5718015859550552704,1373235294
5717995926600527616,378008710
6336917000468306560,451517850
2084901443308114304,1364120828
265911806235019008,1470201273
265884245426489728,1659795694
5593301966464243200,538990549
265920258730484224,934865492
561701011292002432,890079545
561702935437377024,1488445796
561710563299395200,1100120334
561650949153911680,758865746
6770648361665265792,1648588813
1870455100621108864,1466700190
6336819560545506560,443657836
2092686565454710784,721351229
6336910128520182272,1688227709
5878637495998493952,1066000986
6326779159662605312,1605476264
